Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
14111;112.0254;90.3145;6919.890;0.000;0.0000;0.0000;0.000;3.9137;0.576377;-0.570475;-0.411889;0.415567;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:18.990;True;;
14112;112.0256;90.3145;6919.897;0.000;0.0000;0.0000;0.000;3.9142;0.576381;-0.570464;-0.411888;0.415577;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.000;True;;
14113;112.0258;90.3145;6919.897;0.000;0.0000;0.0000;0.000;3.9135;0.576382;-0.570470;-0.411879;0.415576;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.010;True;;
14114;112.0261;90.3145;6919.896;0.000;0.0000;0.0000;0.000;3.9135;0.576378;-0.570477;-0.411877;0.415574;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.020;True;;
14115;112.0263;90.3145;6919.896;0.000;0.0000;0.0000;0.000;3.9136;0.576378;-0.570479;-0.411877;0.415571;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.030;True;;
14116;112.0265;90.3145;6919.897;0.000;0.0000;0.0000;0.000;3.9134;0.576377;-0.570482;-0.411870;0.415574;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.040;True;;
14117;112.0267;90.3145;6919.899;0.000;0.0000;0.0000;0.000;3.9132;0.576379;-0.570483;-0.411868;0.415573;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.050;True;;
14118;112.0269;90.3145;6919.897;0.000;0.0000;0.0000;0.000;3.9138;0.576373;-0.570489;-0.411869;0.415572;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.060;True;;
14119;112.0271;90.3145;6919.901;0.000;0.0000;0.0000;0.000;3.9130;0.576379;-0.570487;-0.411859;0.415577;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.070;True;;
14120;112.0273;90.3145;6919.900;0.000;0.0000;0.0000;0.000;3.9129;0.576377;-0.570493;-0.411856;0.415574;0.30;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.080;True;;
14121;112.0275;90.3145;6919.900;0.000;0.0000;0.0000;0.000;3.9130;0.576375;-0.570497;-0.411855;0.415573;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.090;True;;
14122;112.0277;90.3145;6919.905;0.000;0.0000;0.0000;0.000;3.9131;0.576379;-0.570490;-0.411850;0.415581;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.100;True;;
14123;112.0279;90.3145;6919.900;0.000;0.0000;0.0000;0.000;3.9133;0.576370;-0.570504;-0.411850;0.415574;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.110;True;;
14124;112.0281;90.3145;6919.903;0.000;0.0000;0.0000;0.000;3.9130;0.576373;-0.570502;-0.411845;0.415577;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.120;True;;
14125;112.0283;90.3145;6919.903;0.000;0.0000;0.0000;0.000;3.9136;0.576372;-0.570501;-0.411848;0.415578;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.130;True;;
14126;112.0285;90.3145;6919.908;0.000;0.0000;0.0000;0.000;3.9121;0.576381;-0.570502;-0.411835;0.415577;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.140;True;;
14127;112.0287;90.3145;6919.906;0.000;0.0000;0.0000;0.000;3.9127;0.576374;-0.570508;-0.411837;0.415577;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.150;True;;
14128;112.0289;90.3145;6919.906;0.000;0.0000;0.0000;0.000;3.9130;0.576374;-0.570507;-0.411838;0.415577;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.160;True;;
14129;112.0291;90.3145;6919.907;0.000;0.0000;0.0000;0.000;3.9122;0.576375;-0.570515;-0.411829;0.415575;0.30;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.170;True;;
14130;112.0292;90.3145;6919.908;0.000;0.0000;0.0000;0.000;3.9126;0.576373;-0.570514;-0.411829;0.415578;0.30;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.180;True;;
14131;112.0294;90.3145;6919.913;0.000;0.0000;0.0000;0.000;3.9122;0.576379;-0.570509;-0.411821;0.415584;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.190;True;;
14132;112.0296;90.3145;6919.910;0.000;0.0000;0.0000;0.000;3.9133;0.576371;-0.570513;-0.411827;0.415584;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.200;True;;
14133;112.0298;90.3145;6919.911;0.000;0.0000;0.0000;0.000;3.9130;0.576372;-0.570515;-0.411824;0.415582;0.30;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.210;True;;
14134;112.0300;90.3145;6919.911;0.000;0.0000;0.0000;0.000;3.9130;0.576371;-0.570518;-0.411823;0.415581;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.220;True;;
14135;112.0301;90.3145;6919.913;0.000;0.0000;0.0000;0.000;3.9125;0.576374;-0.570520;-0.411818;0.415579;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.230;True;;
14136;112.0303;90.3145;6919.914;0.000;0.0000;0.0000;0.000;3.9118;0.576377;-0.570523;-0.411810;0.415579;0.30;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.240;True;;
14137;112.0304;90.3145;6919.915;0.000;0.0000;0.0000;0.000;3.9128;0.576372;-0.570521;-0.411813;0.415585;0.29;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.250;True;;
14138;112.0306;90.3145;6919.913;0.000;0.0000;0.0000;0.000;3.9126;0.576368;-0.570529;-0.411810;0.415582;0.30;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.260;True;;
14139;112.0308;90.3145;6919.915;0.000;0.0000;0.0000;0.000;3.9127;0.576369;-0.570528;-0.411808;0.415583;0.29;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.270;True;;
14140;112.0309;90.3145;6919.915;0.000;0.0000;0.0000;0.000;3.9136;0.576366;-0.570526;-0.411813;0.415587;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.280;True;;
14141;112.0311;90.3145;6919.917;0.000;0.0000;0.0000;0.000;3.9127;0.576372;-0.570528;-0.411806;0.415584;0.30;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.290;True;;
14142;112.0312;90.3145;6919.917;0.000;0.0000;0.0000;0.000;3.9134;0.576368;-0.570528;-0.411808;0.415587;0.28;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.300;True;;
14143;112.0314;90.3145;6919.918;0.000;0.0000;0.0000;0.000;3.9131;0.576371;-0.570527;-0.411809;0.415582;0.29;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.310;True;;
14144;112.0315;90.3145;6919.920;0.000;0.0000;0.0000;0.000;3.9135;0.576370;-0.570526;-0.411806;0.415589;0.29;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.320;True;;
14145;112.0316;90.3145;6919.918;0.000;0.0000;0.0000;0.000;3.9128;0.576370;-0.570533;-0.411803;0.415581;0.28;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:38:19.330;True;;
