   8.142 0.0    0.178 0.0 
   8.172 0.0    0.179 0.0 
   8.201 0.0    0.179 0.0 
   8.231 0.0    0.179 0.0 
   8.262 0.0    0.179 0.0 
   8.293 0.0    0.177 0.0 
   8.319 0.0    0.176 0.0 
   8.353 0.0    0.174 0.0 
   8.383 0.0    0.172 0.0 
   8.413 0.0    0.170 0.0 
   8.443 0.0    0.166 0.0 
   8.474 0.0    0.163 0.0 
   8.504 0.0    0.159 0.0 
   8.535 0.0    0.155 0.0 
   8.561 0.0    0.151 0.0 
   8.591 0.0    0.147 0.0 
   8.624 0.0    0.142 0.0 
   8.652 0.0    0.136 0.0 
   8.685 0.0    0.130 0.0 
   8.716 0.0    0.122 0.0 
   8.746 0.0    0.114 0.0 
   8.776 0.0    0.106 0.0 
   8.802 0.0    0.097 0.0 
   8.833 0.0    0.089 0.0 
   8.867 0.0    0.080 0.0 
   8.893 0.0    0.072 0.0 
   8.923 0.0    0.063 0.0 
   8.954 0.0    0.055 0.0 
   8.983 0.0    0.047 0.0 
   9.017 0.0    0.042 0.0 
   9.048 0.0    0.036 0.0 
   9.078 0.0    0.031 0.0 
   9.105 0.0    0.025 0.0 
   9.138 0.0    0.019 0.0 
   9.169 0.0    0.012 0.0 
   9.199 0.0    0.005 0.0 
   9.229 0.0   -0.002 0.0 
   9.259 0.0   -0.009 0.0 
   9.290 0.0   -0.016 0.0 
   9.316 0.0   -0.024 0.0 
   9.351 0.0   -0.032 0.0 
   9.377 0.0   -0.040 0.0 
   9.408 0.0   -0.047 0.0 
   9.438 0.0   -0.055 0.0 
   9.471 0.0   -0.061 0.0 
   9.498 0.0   -0.068 0.0 
   9.528 0.0   -0.075 0.0 
   9.557 0.0   -0.082 0.0 
   9.593 0.0   -0.089 0.0 
   9.619 0.0   -0.096 0.0 
   9.651 0.0   -0.102 0.0 
   9.683 0.0   -0.108 0.0 
   9.710 0.0   -0.114 0.0 
   9.744 0.0   -0.121 0.0 
   9.773 0.0   -0.127 0.0 
   9.801 0.0   -0.132 0.0 
   9.831 0.0   -0.138 0.0 
   9.863 0.0   -0.142 0.0 
   9.896 0.0   -0.147 0.0 
   9.925 0.0   -0.150 0.0 
   9.954 0.0   -0.153 0.0 
   9.986 0.0   -0.156 0.0 
  10.015 0.0   -0.159 0.0 
  10.042 0.0   -0.162 0.0 
  10.077 0.0   -0.163 0.0 
  10.103 0.0   -0.165 0.0 
  10.134 0.0   -0.167 0.0 
  10.166 0.0   -0.168 0.0 
  10.197 0.0   -0.169 0.0 
  10.228 0.0   -0.169 0.0 
  10.255 0.0   -0.169 0.0 
  10.285 0.0   -0.169 0.0 
  10.318 0.0   -0.168 0.0 
  10.344 0.0   -0.168 0.0 
  10.374 0.0   -0.167 0.0 
  10.405 0.0   -0.165 0.0 
  10.436 0.0   -0.163 0.0 
  10.465 0.0   -0.160 0.0 
  10.500 0.0   -0.157 0.0 
  10.526 0.0   -0.154 0.0 
  10.556 0.0   -0.149 0.0 
  10.586 0.0   -0.145 0.0 
  10.617 0.0   -0.139 0.0 
  10.648 0.0   -0.132 0.0 
  10.678 0.0   -0.126 0.0 
  10.711 0.0   -0.119 0.0 
  10.738 0.0   -0.113 0.0 
  10.772 0.0   -0.107 0.0 
