Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
53;-95.4559;90.3168;7045.680;0.000;0.0000;0.0000;0.000;5.1559;0.544163;-0.541749;0.451710;-0.454260;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.050;True;;
54;-95.4559;90.3168;7045.718;0.000;0.0000;0.0000;0.000;5.1618;0.544180;-0.541778;0.451685;-0.454230;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.060;True;;
55;-95.4559;90.3168;7045.759;0.000;0.0000;0.0000;0.000;5.1688;0.544211;-0.541806;0.451651;-0.454194;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.070;True;;
56;-95.4558;90.3168;7045.801;0.000;0.0000;0.0000;0.000;5.1737;0.544232;-0.541825;0.451625;-0.454171;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.080;True;;
57;-95.4558;90.3168;7045.841;0.000;0.0000;0.0000;0.000;5.1810;0.544258;-0.541858;0.451593;-0.454133;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.090;True;;
58;-95.4558;90.3168;7045.877;0.000;0.0000;0.0000;0.000;5.1877;0.544275;-0.541891;0.451572;-0.454094;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.100;True;;
59;-95.4558;90.3168;7045.924;0.000;0.0000;0.0000;0.000;5.1941;0.544308;-0.541913;0.451535;-0.454065;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.110;True;;
60;-95.4558;90.3168;7045.964;0.000;0.0000;0.0000;0.000;5.2011;0.544331;-0.541946;0.451508;-0.454025;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.120;True;;
61;-95.4557;90.3168;7046.003;0.000;0.0000;0.0000;0.000;5.2076;0.544349;-0.541978;0.451485;-0.453989;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.130;True;;
62;-95.4557;90.3168;7046.043;0.000;0.0000;0.0000;0.000;5.2153;0.544371;-0.542015;0.451455;-0.453948;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.140;True;;
63;-95.4557;90.3168;7046.086;0.000;0.0000;0.0000;0.000;5.2221;0.544394;-0.542045;0.451428;-0.453910;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.150;True;;
64;-95.4557;90.3168;7046.133;0.000;0.0000;0.0000;0.000;5.2279;0.544421;-0.542068;0.451397;-0.453883;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.160;True;;
65;-95.4557;90.3168;7046.179;0.000;0.0000;0.0000;0.000;5.2346;0.544447;-0.542097;0.451365;-0.453849;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.170;True;;
66;-95.4556;90.3168;7046.225;0.000;0.0000;0.0000;0.000;5.2411;0.544472;-0.542124;0.451337;-0.453815;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.180;True;;
67;-95.4556;90.3168;7046.267;0.000;0.0000;0.0000;0.000;5.2487;0.544494;-0.542160;0.451310;-0.453771;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.190;True;;
68;-95.4556;90.3168;7046.314;0.000;0.0000;0.0000;0.000;5.2557;0.544522;-0.542189;0.451275;-0.453737;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.200;True;;
69;-95.4556;90.3168;7046.360;0.000;0.0000;0.0000;0.000;5.2634;0.544547;-0.542225;0.451243;-0.453697;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.210;True;;
70;-95.4556;90.3168;7046.404;0.000;0.0000;0.0000;0.000;5.2693;0.544564;-0.542253;0.451222;-0.453663;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.220;True;;
71;-95.4555;90.3168;7046.459;0.000;0.0000;0.0000;0.000;5.2756;0.544598;-0.542274;0.451184;-0.453635;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.230;True;;
72;-95.4555;90.3168;7046.499;0.000;0.0000;0.0000;0.000;5.2838;0.544616;-0.542317;0.451158;-0.453588;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.240;True;;
73;-95.4555;90.3168;7046.545;0.000;0.0000;0.0000;0.000;5.2905;0.544635;-0.542349;0.451134;-0.453551;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.250;True;;
74;-95.4555;90.3168;7046.598;0.000;0.0000;0.0000;0.000;5.2962;0.544664;-0.542370;0.451102;-0.453523;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.260;True;;
75;-95.4555;90.3168;7046.646;0.000;0.0000;0.0000;0.000;5.3039;0.544691;-0.542403;0.451072;-0.453480;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.270;True;;
76;-95.4554;90.3168;7046.695;0.000;0.0000;0.0000;0.000;5.3108;0.544713;-0.542437;0.451039;-0.453448;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.280;True;;
77;-95.4554;90.3168;7046.746;0.000;0.0000;0.0000;0.000;5.3173;0.544738;-0.542464;0.451010;-0.453413;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.290;True;;
78;-95.4554;90.3168;7046.794;0.000;0.0000;0.0000;0.000;5.3244;0.544760;-0.542496;0.450982;-0.453375;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.300;True;;
79;-95.4554;90.3167;7046.843;0.000;0.0000;0.0000;0.000;5.3323;0.544789;-0.542530;0.450953;-0.453329;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.310;True;;
80;-95.4554;90.3167;7046.893;0.000;0.0000;0.0000;0.000;5.3384;0.544809;-0.542558;0.450927;-0.453297;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.320;True;;
81;-95.4553;90.3167;7046.947;0.000;0.0000;0.0000;0.000;5.3442;0.544833;-0.542582;0.450899;-0.453268;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.330;True;;
82;-95.4553;90.3167;7047.001;0.000;0.0000;0.0000;0.000;5.3498;0.544856;-0.542605;0.450870;-0.453242;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.340;True;;
83;-95.4553;90.3167;7047.049;0.000;0.0000;0.0000;0.000;5.3573;0.544877;-0.542641;0.450843;-0.453199;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.350;True;;
84;-95.4553;90.3167;7047.098;0.000;0.0000;0.0000;0.000;5.3636;0.544896;-0.542670;0.450823;-0.453162;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.360;True;;
85;-95.4553;90.3167;7047.148;0.000;0.0000;0.0000;0.000;5.3714;0.544918;-0.542709;0.450791;-0.453121;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.370;True;;
86;-95.4552;90.3167;7047.202;0.000;0.0000;0.0000;0.000;5.3770;0.544941;-0.542731;0.450766;-0.453092;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.380;True;;
87;-95.4552;90.3167;7047.255;0.000;0.0000;0.0000;0.000;5.3840;0.544966;-0.542762;0.450734;-0.453056;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.390;True;;
88;-95.4552;90.3167;7047.308;0.000;0.0000;0.0000;0.000;5.3897;0.544987;-0.542787;0.450710;-0.453026;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.400;True;;
89;-95.4551;90.3167;7047.360;0.000;0.0000;0.0000;0.000;5.3962;0.545009;-0.542816;0.450685;-0.452989;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.410;True;;
90;-95.4552;90.3167;7047.411;0.000;0.0000;0.0000;0.000;5.4019;0.545023;-0.542845;0.450665;-0.452958;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.420;True;;
91;-95.4551;90.3167;7047.467;0.000;0.0000;0.0000;0.000;5.4080;0.545049;-0.542870;0.450634;-0.452928;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.430;True;;
92;-95.4551;90.3167;7047.519;0.000;0.0000;0.0000;0.000;5.4137;0.545066;-0.542895;0.450615;-0.452895;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.440;True;;
93;-95.4551;90.3167;7047.570;0.000;0.0000;0.0000;0.000;5.4197;0.545081;-0.542926;0.450593;-0.452862;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.450;True;;
94;-95.4550;90.3167;7047.623;0.000;0.0000;0.0000;0.000;5.4258;0.545102;-0.542954;0.450569;-0.452828;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.460;True;;
95;-95.4550;90.3167;7047.682;0.000;0.0000;0.0000;0.000;5.4314;0.545129;-0.542974;0.450538;-0.452802;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.470;True;;
96;-95.4550;90.3167;7047.738;0.000;0.0000;0.0000;0.000;5.4364;0.545150;-0.542994;0.450515;-0.452776;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.480;True;;
97;-95.4550;90.3167;7047.788;0.000;0.0000;0.0000;0.000;5.4434;0.545166;-0.543030;0.450490;-0.452738;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.490;True;;
98;-95.4550;90.3167;7047.837;0.000;0.0000;0.0000;0.000;5.4484;0.545174;-0.543058;0.450478;-0.452706;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.500;True;;
99;-95.4550;90.3167;7047.895;0.000;0.0000;0.0000;0.000;5.4541;0.545200;-0.543079;0.450450;-0.452677;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.510;True;;
100;-95.4549;90.3167;7047.950;0.000;0.0000;0.0000;0.000;5.4582;0.545215;-0.543097;0.450433;-0.452655;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.520;True;;
101;-95.4549;90.3167;7048.002;0.000;0.0000;0.0000;0.000;5.4632;0.545225;-0.543124;0.450417;-0.452627;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.530;True;;
102;-95.4549;90.3167;7048.058;0.000;0.0000;0.0000;0.000;5.4681;0.545244;-0.543145;0.450393;-0.452603;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.540;True;;
103;-95.4549;90.3167;7048.110;0.000;0.0000;0.0000;0.000;5.4731;0.545257;-0.543168;0.450378;-0.452573;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.550;True;;
104;-95.4548;90.3167;7048.166;0.000;0.0000;0.0000;0.000;5.4780;0.545275;-0.543190;0.450356;-0.452548;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.560;True;;
105;-95.4548;90.3167;7048.217;0.000;0.0000;0.0000;0.000;5.4828;0.545285;-0.543215;0.450342;-0.452520;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.570;True;;
106;-95.4548;90.3167;7048.279;0.000;0.0000;0.0000;0.000;5.4868;0.545310;-0.543226;0.450313;-0.452504;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.580;True;;
107;-95.4548;90.3167;7048.330;0.000;0.0000;0.0000;0.000;5.4917;0.545322;-0.543251;0.450299;-0.452475;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.590;True;;
108;-95.4548;90.3167;7048.384;0.000;0.0000;0.0000;0.000;5.4953;0.545332;-0.543269;0.450284;-0.452456;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.600;True;;
109;-95.4548;90.3167;7048.437;0.000;0.0000;0.0000;0.000;5.4993;0.545343;-0.543288;0.450271;-0.452433;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.610;True;;
