Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
6347;111.2008;90.9718;2275.159;0.000;0.0000;0.0000;0.000;6.4849;0.574044;-0.574322;-0.412180;0.413201;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.730;True;;
6348;111.2015;90.9722;2274.636;0.000;0.0000;0.0000;0.000;6.4814;0.574067;-0.574281;-0.412165;0.413242;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.740;True;;
6349;111.2021;90.9726;2274.098;0.000;0.0000;0.0000;0.000;6.4787;0.574086;-0.574250;-0.412150;0.413274;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.750;True;;
6350;111.2026;90.9729;2273.558;0.000;0.0000;0.0000;0.000;6.4742;0.574115;-0.574213;-0.412125;0.413310;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.760;True;;
6351;111.2031;90.9732;2273.005;0.000;0.0000;0.0000;0.000;6.4712;0.574136;-0.574182;-0.412108;0.413342;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.770;True;;
6352;111.2036;90.9736;2272.445;0.000;0.0000;0.0000;0.000;6.4673;0.574163;-0.574145;-0.412088;0.413374;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.780;True;;
6353;111.2040;90.9739;2271.882;0.000;0.0000;0.0000;0.000;6.4626;0.574192;-0.574102;-0.412066;0.413416;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.790;True;;
6354;111.2043;90.9743;2271.310;0.000;0.0000;0.0000;0.000;6.4577;0.574224;-0.574060;-0.412043;0.413452;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.800;True;;
6355;111.2046;90.9747;2270.727;0.000;0.0000;0.0000;0.000;6.4536;0.574253;-0.574022;-0.412021;0.413487;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.810;True;;
6356;111.2048;90.9750;2270.134;0.000;0.0000;0.0000;0.000;6.4502;0.574274;-0.573984;-0.412005;0.413525;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.820;True;;
6357;111.2050;90.9753;2269.540;0.000;0.0000;0.0000;0.000;6.4448;0.574310;-0.573936;-0.411982;0.413565;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.830;True;;
6358;111.2052;90.9758;2268.934;0.000;0.0000;0.0000;0.000;6.4410;0.574336;-0.573892;-0.411968;0.413603;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.840;True;;
6359;111.2052;90.9762;2268.325;0.000;0.0000;0.0000;0.000;6.4352;0.574375;-0.573848;-0.411940;0.413638;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.850;True;;
6360;111.2052;90.9765;2267.704;0.000;0.0000;0.0000;0.000;6.4314;0.574397;-0.573802;-0.411926;0.413686;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.860;True;;
6361;111.2052;90.9769;2267.078;0.000;0.0000;0.0000;0.000;6.4261;0.574436;-0.573761;-0.411901;0.413714;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.870;True;;
6362;111.2050;90.9773;2266.444;0.000;0.0000;0.0000;0.000;6.4214;0.574465;-0.573715;-0.411880;0.413759;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.880;True;;
6363;111.2049;90.9777;2265.804;0.000;0.0000;0.0000;0.000;6.4164;0.574500;-0.573665;-0.411864;0.413794;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.890;True;;
6364;111.2047;90.9781;2265.155;0.000;0.0000;0.0000;0.000;6.4119;0.574529;-0.573624;-0.411841;0.413834;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.900;True;;
6365;111.2044;90.9785;2264.504;0.000;0.0000;0.0000;0.000;6.4061;0.574566;-0.573572;-0.411818;0.413878;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.910;True;;
6366;111.2040;90.9788;2263.842;0.000;0.0000;0.0000;0.000;6.4010;0.574600;-0.573529;-0.411795;0.413914;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.920;True;;
6367;111.2037;90.9793;2263.174;0.000;0.0000;0.0000;0.000;6.3965;0.574630;-0.573479;-0.411781;0.413955;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.930;True;;
6368;111.2032;90.9796;2262.504;0.000;0.0000;0.0000;0.000;6.3899;0.574672;-0.573430;-0.411751;0.413994;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.940;True;;
6369;111.2027;90.9800;2261.825;0.000;0.0000;0.0000;0.000;6.3849;0.574704;-0.573378;-0.411733;0.414039;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.950;True;;
6370;111.2021;90.9804;2261.141;0.000;0.0000;0.0000;0.000;6.3791;0.574743;-0.573324;-0.411714;0.414080;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.960;True;;
6371;111.2015;90.9807;2260.452;0.000;0.0000;0.0000;0.000;6.3731;0.574783;-0.573270;-0.411692;0.414121;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.970;True;;
6372;111.2009;90.9812;2259.756;0.000;0.0000;0.0000;0.000;6.3670;0.574824;-0.573220;-0.411666;0.414159;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.980;True;;
6373;111.2001;90.9815;2259.056;0.000;0.0000;0.0000;0.000;6.3610;0.574860;-0.573162;-0.411647;0.414208;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.990;True;;
6374;111.1993;90.9820;2258.351;0.000;0.0000;0.0000;0.000;6.3546;0.574902;-0.573105;-0.411622;0.414253;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.000;True;;
6375;111.1984;90.9823;2257.641;0.000;0.0000;0.0000;0.000;6.3484;0.574942;-0.573045;-0.411606;0.414296;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.010;True;;
6376;111.1975;90.9828;2256.927;0.000;0.0000;0.0000;0.000;6.3411;0.574989;-0.572987;-0.411576;0.414341;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.020;True;;
6377;111.1966;90.9831;2256.202;0.000;0.0000;0.0000;0.000;6.3361;0.575024;-0.572933;-0.411563;0.414381;0.38;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.030;True;;
6378;111.1955;90.9836;2255.483;0.000;0.0000;0.0000;0.000;6.3275;0.575076;-0.572869;-0.411528;0.414431;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.040;True;;
6379;111.1945;90.9840;2254.754;0.000;0.0000;0.0000;0.000;6.3203;0.575124;-0.572812;-0.411501;0.414471;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:34.050;True;;
